company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds
c:79203,fashion,operating,USA,CA,Encinitas,San Diego,,,,,,,,False,False,False,,,,,,1.0,139000000.0,1.0,1
c:79205,hardware,operating,USA,MN,Bloomington,Minneapolis,,,,,,,,False,False,False,2192.0,,,,,1.0,573000.0,0.0,1
c:79206,hardware,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,1736.0,,,,,1.0,305000.0,8.0,1
c:79213,software,operating,USA,NY,New York,New York,,,,,,,,False,False,False,1096.0,,,,,1.0,240135.0,0.0,1
c:79221,enterprise,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2012-10-02,False,True,False,2557.0,1.0,,,3.0,1.0,4000000.0,0.0,1
c:79224,advertising,operating,USA,TX,,Texas - Other,,,,,,,,False,False,False,,,,,1.0,4.0,270711.0,0.0,1
c:79237,travel,operating,,,,unknown,,,,,,,,False,False,False,,,,,,,15800000.0,0.0,1
c:79243,biotech,operating,USA,VA,Arlington,Washington DC,,,,,,,,False,False,False,2192.0,,,,,1.0,1900000.0,0.5,2
c:79244,medical,operating,,,,unknown,,,,,,,,False,False,False,,,,,,,6000000.0,0.0,1
c:79248,web,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,1096.0,2.0,,,3.0,1.0,3500000.0,1.5,2
c:79252,hardware,operating,IND,,Bangalore,Bangalore,,,,,,,,False,False,False,1064.0,,,,,1.0,,2.0,1
c:79256,biotech,operating,USA,WA,Seattle,Seattle,,,,,,,,False,False,False,,,,,,1.0,1000000.0,0.0,1
c:79280,ecommerce,operating,GBR,,London,London,,,,,,,,False,False,False,1096.0,,,,,1.0,243540.0,1.0,1
c:79302,,operating,,,,unknown,,,,,,,,False,False,False,,,,,,,250000.0,0.0,1
c:79307,ecommerce,operating,ARG,,Buenos Aires,Buenos Aires,,,,,,,,False,False,False,1188.0,,,,1.0,1.0,700000.0,1.0,1
c:79318,software,operating,GBR,,Salford,Salford,,,,,,,,False,False,False,1732.0,,,,,1.0,81232.0,1.0,1
c:79332,music,operating,USA,NY,New York,New York,,,,,,,,False,False,False,4383.0,3.0,,,7.0,4.0,3300000.0,3.0,3
c:79336,software,operating,IRL,,Cork,Cork,,,,,,,,False,False,False,969.0,,,,2.0,1.0,,1.0,1
c:79361,software,operating,USA,CA,Pasadena,Los Angeles,,,,,,,,False,False,False,1826.0,,,,,1.0,,0.0,1
c:79386,nanotech,operating,USA,TX,Houston,Houston,,,,,,,,False,False,False,1826.0,,,,,1.0,2600000.0,0.5,2
c:79388,health,operating,USA,CA,Vacaville,Vacaville,,,,,,,,False,False,False,,,,,,1.0,10000000.0,1.0,1
c:79390,games_video,operating,FIN,,Helsinki,Helsinki,,,,,,,,False,False,False,1127.0,,1.0,3.0,5.0,2.0,1400000.0,1.0,1
c:79392,games_video,operating,GBR,,Shropshire,Shropshire,,,,,,,,False,False,False,,,,,,1.0,410424.0,1.0,1
c:79396,biotech,operating,ESP,,Barcelona,Barcelona,,,,,,,,False,False,False,1461.0,,,,,1.0,15892035.0,1.0,2
c:79400,hardware,operating,GBR,,"Croydon, Surrey",London,,,,,,,,False,False,False,,,,,,1.0,19314064.0,1.0,1
c:79409,web,operating,USA,CA,Santa Monica,Los Angeles,,,,,,,,False,False,False,2922.0,,,,1.0,1.0,5575002.0,0.5,2
c:79412,web,operating,SWE,,Goteborg,Goteborg,,,,,,,,False,False,False,1402.0,,,,,1.0,150000.0,5.0,1
c:79416,cleantech,operating,FIN,,Espoo,Espoo,,,,,,,,False,False,False,1461.0,,,,,1.0,2614400.0,2.0,1
c:79421,mobile,operating,SWE,,Linköping,Linköping,,,,,,,,False,False,False,2557.0,,,2.0,,1.0,1946362.0,2.0,1
