company_id,category_code,country_code,state_code,city,region,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds,products_number
c:247691,hardware,USA,CA,SAN JOSE,SF Bay,False,False,False,,,,,,1.0,3059464.0,0.0,1,
c:247693,nonprofit,GBR,,West Midlands,West Midlands,False,False,False,,,,,,1.0,6515581.0,1.0,1,
c:247699,manufacturing,USA,CA,Fremont,SF Bay,False,False,False,2192.0,,,,,1.0,9999999.5,0.5,2,
c:247701,ecommerce,USA,CO,CENTENNIAL,Denver,False,False,False,2922.0,,,,,1.0,750000.0,0.0,1,
c:247702,semiconductor,USA,CA,Mountain View,SF Bay,False,False,False,1826.0,,,,,1.0,4819924.0,0.0,1,
c:247708,medical,USA,OK,Edmond,Edmond,False,False,False,731.0,,,,,1.0,100000.0,0.0,1,
c:247712,health,USA,IL,Edwardsville,unknown,False,False,False,1461.0,,,,,1.0,200000.0,0.0,1,
c:247713,fashion,USA,CA,San Francisco,SF Bay,False,False,False,731.0,,,,1.0,1.0,5600000.0,18.0,1,
c:247714,ecommerce,USA,CT,Greenwich,New York,False,False,False,1826.0,,,,,1.0,75000.0,0.0,1,
c:247727,consulting,USA,NY,New York,New York,False,False,False,,1.0,,,2.0,1.0,1926880.0,0.0,2,
c:247731,ecommerce,USA,WA,SEATTLE,Seattle,False,False,False,,,,,,1.0,527800.5,0.0,2,
c:247741,biotech,USA,CO,Boulder,Denver,False,False,False,,,,,,1.0,4585374.333333333,0.0,3,
c:247745,consulting,,,,unknown,False,False,False,549.0,,,,1.0,,5400000.0,0.0,1,
c:247750,finance,IND,,Bangalore,Bangalore,False,False,False,,,,,,1.0,57000000.0,1.0,1,
c:247753,enterprise,USA,FL,Santa Rosa Beach,Santa Rosa Beach,False,False,False,1096.0,1.0,1.0,,,1.0,855000.0,0.0,1,
c:247776,mobile,MEX,,Monterrey,Monterrey,False,False,False,313.0,,,1.0,1.0,1.0,370000.0,0.0,1,
c:247785,music,USA,CA,San Francisco,SF Bay,False,False,False,518.0,,,1.0,2.0,1.0,,1.0,1,
c:247802,manufacturing,USA,TX,Spring,Houston,False,False,False,819.0,,,,,2.0,6280000.0,1.0,1,
c:247812,,USA,CA,Los Angeles,Los Angeles,False,False,True,,,,,,1.0,7600000.0,3.0,1,
c:247822,other,,,,unknown,False,False,False,792.0,,,,,,300000.0,0.0,1,
c:247835,security,,,,unknown,False,False,False,245.0,1.0,,,2.0,,20000.0,1.0,1,
c:247850,fashion,USA,CA,Mountain View,SF Bay,False,False,False,365.0,,,,1.0,1.0,,1.0,1,
c:247852,hospitality,USA,MI,Ann Arbor,Detroit,False,False,False,731.0,,,,4.0,1.0,17500.0,0.0,1,
c:247859,software,USA,WV,Morgantown,Morgantown,False,False,False,,,,,,1.0,1343225.0,0.0,1,
c:247866,manufacturing,USA,MI,ANN ARBOR,Detroit,False,False,False,643.0,,,,,1.0,305000.0,0.0,1,
c:247875,health,CAN,,"Winnipeg,Manitoba",Winnipeg,False,False,False,5844.0,,,,,1.0,888716.0,0.0,1,
c:247883,social,,,,unknown,False,False,False,365.0,1.0,,,4.0,,1250000.0,0.0,1,
c:247888,software,USA,TX,Irving,Dallas,False,False,False,3653.0,,,,,1.0,3000000.0,1.0,1,
c:247894,biotech,USA,CA,San Diego,San Diego,False,False,False,,,,,,1.0,481268.0,0.0,1,
c:247895,finance,USA,FL,Tampa,Tampa,False,False,False,,1.0,,,1.0,1.0,33000000.0,0.0,1,
c:247897,software,USA,TX,GEORGETOWN,Austin,False,False,False,1826.0,,,,,1.0,100002.0,0.0,1,
c:247904,cleantech,CAN,,,Canada - Other,True,False,False,,,,,,1.0,12500000.0,0.0,1,
c:247907,software,USA,TN,TULLAHOMA,Tullahoma,False,False,False,,,,,,1.0,3115236.0,0.0,2,
c:248515,education,USA,CA,Glendale,Los Angeles,False,False,False,2557.0,,,,,1.0,15000000.0,0.0,1,
c:249149,finance,CAN,,British Columbia,British Columbia,False,False,False,6209.0,1.0,,,2.0,1.0,,1.0,1,
c:249473,games_video,USA,CA,San Francisco,SF Bay,False,False,False,1096.0,,,,,1.0,156700.0,0.0,1,
c:249489,games_video,USA,CO,Erie,Denver,False,False,False,1096.0,,,,,1.0,125000.0,0.0,1,
c:250135,games_video,NLD,,Hoorn,Hoorn,False,False,False,,,,,,1.0,514640.0,1.0,1,
c:250275,games_video,GBR,,London,London,False,False,False,,,,,,1.0,,2.0,1,
c:250631,games_video,CZE,,Prague 5,Prague,False,False,False,1090.0,,,,,1.0,250000.0,1.0,1,
c:251246,games_video,GRC,,Thessaloniki,Thessaloniki,False,False,False,3653.0,,,,,1.0,553238.0,1.0,1,
c:251666,health,USA,CA,San Francisco,SF Bay,False,False,False,1096.0,,,,,1.0,,1.0,1,
c:252118,software,,,,unknown,False,False,False,731.0,,,,,,50000.0,1.0,1,
c:252890,photo_video,,,,unknown,False,False,False,,,,,,,150000.0,0.5,2,
c:253054,mobile,USA,CA,San Francisco,SF Bay,False,False,False,1096.0,,,,,1.0,,1.0,1,
c:253111,mobile,,,,unknown,False,False,False,,,,,,,125001.0,0.0,1,
c:253212,mobile,,,,unknown,False,False,False,,,,,,,,1.0,1,
c:253693,social,USA,CA,San Francisco,SF Bay,False,False,False,731.0,,,,,1.0,360726.0,0.0,1,
c:253725,software,USA,UT,South Jordan,Salt Lake City,False,False,False,,,,,,1.0,150000.0,0.0,1,
c:253814,sports,USA,CA,Cupertino,SF Bay,False,False,False,2557.0,,,,,1.0,750000.0,0.0,1,
c:254211,travel,POL,,Szczecin,Szczecin,False,False,False,1826.0,,,,,1.0,19299.0,1.0,1,
c:254895,fashion,USA,CA,San Francisco,SF Bay,False,False,False,,,,,,1.0,91000.0,0.0,1,
c:254897,ecommerce,SGP,,Singapore,Singapore,False,False,False,,,,,,1.0,464000.0,1.0,1,
c:254898,ecommerce,USA,CA,Los Angeles,Los Angeles,False,False,False,,,,,,1.0,5000000.0,0.0,1,
c:254900,enterprise,AUS,,Sydney,Sydney,False,False,False,487.0,,,,4.0,1.0,,0.0,1,
c:254911,software,USA,TN,NASHVILLE,Nashville,False,False,False,1096.0,,,,,1.0,375000.0,0.0,1,
